keyword,date,naver_score
달고나커피,2016-07-01,0.00025
달고나커피,2016-08-01,0.0006
달고나커피,2016-09-01,0.0009
달고나커피,2016-10-01,0.0005
달고나커피,2016-11-01,0.00085
달고나커피,2016-12-01,0.0005
달고나커피,2017-01-01,0.0008
달고나커피,2017-02-01,0.00055
달고나커피,2017-03-01,0.0008
달고나커피,2017-04-01,0.0006
달고나커피,2017-05-01,0.0005
달고나커피,2017-06-01,0.0003
달고나커피,2017-07-01,0.00025
달고나커피,2017-08-01,0.00025
달고나커피,2017-09-01,0.0005
달고나커피,2017-11-01,0.00025
달고나커피,2017-12-01,0.00025
달고나커피,2018-01-01,0.00135
달고나커피,2018-02-01,0.00156
달고나커피,2018-03-01,0.00055
달고나커피,2018-04-01,0.0003
달고나커피,2018-05-01,0.0008
달고나커피,2018-08-01,0.0003
달고나커피,2018-12-01,0.0014
달고나커피,2019-01-01,0.00186
달고나커피,2019-02-01,0.0003
달고나커피,2019-03-01,0.00035
달고나커피,2019-04-01,0.0005
달고나커피,2019-05-01,0.0012
달고나커피,2019-06-01,0.00181
달고나커피,2019-07-01,0.0012
달고나커피,2019-08-01,0.00025
달고나커피,2019-09-01,0.00156
달고나커피,2019-10-01,0.00105
달고나커피,2019-11-01,0.03654
달고나커피,2019-12-01,0.06548
달고나커피,2020-01-01,0.84387
달고나커피,2020-02-01,2.19103
달고나커피,2020-03-01,85.0943
달고나커피,2020-04-01,44.71118
달고나커피,2020-05-01,10.14114
달고나커피,2020-06-01,3.01145
달고나커피,2020-07-01,1.50348
달고나커피,2020-08-01,1.08462
달고나커피,2020-09-01,0.86929
달고나커피,2020-10-01,0.7113
달고나커피,2020-11-01,0.49391
달고나커피,2020-12-01,0.54923
달고나커피,2021-01-01,0.46582
달고나커피,2021-02-01,0.39521
달고나커피,2021-03-01,0.36521
달고나커피,2021-04-01,0.34009
달고나커피,2021-05-01,0.29278
달고나커피,2021-06-01,0.23278
달고나커피,2021-07-01,0.25478
달고나커피,2021-08-01,0.37331
달고나커피,2021-09-01,0.30229
달고나커피,2021-10-01,0.81257
달고나커피,2021-11-01,0.4546
달고나커피,2021-12-01,0.33038
달고나커피,2022-01-01,0.36954
달고나커피,2022-02-01,0.4319
달고나커피,2022-03-01,0.44463
달고나커피,2022-04-01,0.318
달고나커피,2022-05-01,0.30989
달고나커피,2022-06-01,0.2661
달고나커피,2022-07-01,0.28589
달고나커피,2022-08-01,0.29213
달고나커피,2022-09-01,0.24899
달고나커피,2022-10-01,0.25649
달고나커피,2022-11-01,0.18275
